Title|Year|Genre|Avg Ratings|Votes|Gross
Love, Simon|(2018)|Comedy,Drama,Romance|7.6|106,946|$40.83M
A Wrinkle in Time|(2018)|Adventure,Family,Fantasy|4.2|43,356|$100.48M
Ready Player One|(2018)|Action,Adventure,Sci-Fi|7.4|401,186|$137.69M
Avengers: Infinity War|(2018)|Action,Adventure,Sci-Fi|8.4|936,129|$678.82M
Annihilation|(I) (2018)|Adventure,Drama,Horror|6.8|300,622|$32.73M
Jurassic World: Fallen Kingdom|(2018)|Action,Adventure,Sci-Fi|6.2|285,251|$417.72M
Deadpool 2|(2018)|Action,Adventure,Comedy|7.7|523,329|$324.59M
Maze Runner: The Death Cure|(2018)|Action,Adventure,Sci-Fi|6.3|126,249|$58.03M
Tomb Raider|(2018)|Action,Adventure,Fantasy|6.3|203,964|$58.25M
The New Mutants|(2020)|Action,Horror,Mystery|5.3|67,914|
Mamma Mia! Here We Go Again|(2018)|Comedy,Musical,Romance|6.6|87,746|$120.63M
The Grinch|(2018)|Animation,Adventure,Comedy|6.3|60,221|$270.62M
Paddington 2|(2017)|Animation,Adventure,Comedy|7.8|68,441|$40.44M
Ralph Breaks the Internet|(2018)|Animation,Adventure,Comedy|7.0|145,658|$201.09M
Midnight Sun|(2018)|Drama,Romance|6.6|27,969|$9.56M
Alita: Battle Angel|(2019)|Action,Adventure,Sci-Fi|7.3|249,067|$85.71M
Rampage|(2018)|Action,Adventure,Sci-Fi|6.1|155,923|$101.03M
Smallfoot|(2018)|Animation,Adventure,Comedy|6.6|37,183|$83.24M
Incredibles 2|(2018)|Animation,Action,Adventure|7.6|271,219|$608.58M
Peter Rabbit|(2018)|Animation,Adventure,Comedy|6.6|39,999|$115.25M
The Nutcracker and the Four Realms|(2018)|Adventure,Family,Fantasy|5.6|31,231|$54.86M
The Clapper|(I) (2017)|Comedy,Drama|5.1|7,063|
Every Day|(2018)|Drama,Fantasy,Romance|6.5|20,345|$6.10M
Flower|(I) (2017)|Comedy,Drama|6.0|8,329|$0.33M
Gnome Alone|(2017)|Animation,Adventure,Comedy|5.6|3,269|
Black Panther|(2018)|Action,Adventure,Sci-Fi|7.3|683,136|$700.06M
Gringo|(2018)|Action,Comedy,Crime|6.1|28,907|$4.97M
Game Night|(I) (2018)|Action,Comedy,Crime|6.9|221,219|$69.18M
Ocean's Eight|(2018)|Action,Comedy,Crime|6.3|203,018|$140.22M
Blockers|(2018)|Comedy|6.2|75,892|$60.31M
A Quiet Place|(2018)|Drama,Horror,Sci-Fi|7.5|485,642|$188.02M
The Strangers: Prey at Night|(2018)|Horror|5.2|29,557|$24.43M
The Disaster Artist|(2017)|Biography,Comedy,Drama|7.3|146,156|$21.12M
Truth or Dare|(I) (2018)|Horror,Thriller|5.2|52,160|$41.41M
Game Over, Man!|(2018)|Action,Comedy|5.4|28,408|
Overboard|(2018)|Comedy,Romance|6.0|36,732|$50.32M
The Vanishing of Sidney Hall|(2017)|Drama,Mystery,Romance|6.9|10,373|
Breaking In|(2018)|Action,Thriller|5.5|15,345|$46.38M
I Kill Giants|(2017)|Drama,Fantasy,Thriller|6.2|31,720|
Mortal Engines|(2018)|Action,Adventure,Fantasy|6.1|118,738|$15.95M
Coma|(I) (2019)|Action,Adventure,Fantasy|6.3|9,017|
Half Magic|(2018)|Comedy,Romance|4.7|1,303|
Step Sisters|(2018)|Comedy|5.5|4,304|
When We First Met|(2018)|Comedy,Fantasy,Romance|6.4|45,974|
Please Stand By|(2017)|Comedy,Drama|6.7|13,235|$0.01M
Life of the Party|(I) (2018)|Comedy|5.6|35,878|$52.86M
Venom|(2018)|Action,Adventure,Sci-Fi|6.7|423,779|$213.52M
Book Club|(I) (2018)|Comedy,Drama,Romance|6.1|27,072|$68.57M
Mary Poppins Returns|(2018)|Adventure,Comedy,Family|6.7|82,447|$171.96M
The Cured|(2017)|Drama,Horror,Sci-Fi|5.6|8,370|$0.02M
The Spy Who Dumped Me|(2018)|Action,Adventure,Comedy|6.1|74,128|$33.56M
Under the Silver Lake|(2018)|Crime,Drama,Mystery|6.5|37,882|$0.05M
Tag|(I) (2018)|Action,Comedy|6.5|125,088|$54.55M
Zoo|(I) (2017)|Adventure,Family,History|6.6|1,131|
Fantastic Beasts: The Crimes of Grindelwald|(2018)|Adventure,Family,Fantasy|6.5|240,701|$159.56M
Adrift|(I) (2018)|Action,Adventure,Biography|6.6|52,317|$31.45M
Happy Anniversary|(I) (2018)|Comedy|5.7|4,113|
The House with a Clock in Its Walls|(2018)|Comedy,Family,Fantasy|6.1|49,332|$68.55M
Logan Lucky|(2017)|Action,Comedy,Crime|7.0|141,906|$27.78M
The Darkest Minds|(2018)|Action,Adventure,Drama|5.7|30,737|$12.70M
Benji|(I) (2018)|Crime,Drama,Family|6.3|4,337|
Night School|(2018)|Comedy|5.6|38,864|$77.34M
